Dataset,Model,Batch Size,Optimizer,Learning Rate,Test Accuracy (%),Results Dir,Model File
FashionMNIST,ResNet-18,16,Adam,0.0001,97.47,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs16_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-18,16,Adam,0.001,93.34,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs16_Adam_lr0.001_best.pth
FashionMNIST,ResNet-18,16,SGD,0.0001,94.41,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs16_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-18,16,SGD,0.001,96.59,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs16_SGD_lr0.001_best.pth
FashionMNIST,ResNet-18,32,Adam,0.0001,97.28,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs32_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-18,32,Adam,0.001,93.84,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs32_Adam_lr0.001_best.pth
FashionMNIST,ResNet-18,32,SGD,0.0001,96.26,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs32_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-18,32,SGD,0.001,95.64,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs32_SGD_lr0.001_best.pth
FashionMNIST,ResNet-50,16,Adam,0.0001,96.4,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs16_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-50,16,Adam,0.001,91.48,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs16_Adam_lr0.001_best.pth
FashionMNIST,ResNet-50,16,SGD,0.0001,95.46,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs16_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-50,16,SGD,0.001,96.56,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs16_SGD_lr0.001_best.pth
FashionMNIST,ResNet-50,32,Adam,0.0001,96.09,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs32_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-50,32,Adam,0.001,91.51,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs32_Adam_lr0.001_best.pth
FashionMNIST,ResNet-50,32,SGD,0.0001,96.44,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs32_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-50,32,SGD,0.001,97.2,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs32_SGD_lr0.001_best.pth
MNIST,ResNet-18,16,Adam,0.0001,99.57,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-18,16,Adam,0.001,99.23,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-18,16,SGD,0.0001,99.75,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs16_SGD_lr0.0001_best.pth
MNIST,ResNet-18,16,SGD,0.001,99.81,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs16_SGD_lr0.001_best.pth
MNIST,ResNet-18,32,Adam,0.0001,99.64,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs32_Adam_lr0.0001_best.pth
MNIST,ResNet-18,32,Adam,0.001,99.39,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs32_Adam_lr0.001_best.pth
MNIST,ResNet-18,32,SGD,0.0001,99.65,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs32_SGD_lr0.0001_best.pth
MNIST,ResNet-18,32,SGD,0.001,99.81,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs32_SGD_lr0.001_best.pth
MNIST,ResNet-50,16,Adam,0.0001,97.83,results_with_pinmemory=false_epochs=10,mnist_resnet50_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-50,16,Adam,0.001,96.78,results_with_pinmemory=false_epochs=10,mnist_resnet50_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-50,16,SGD,0.0001,99.35,results_with_pinmemory=false_epochs=10,mnist_resnet50_bs16_SGD_lr0.0001_best.pth
MNIST,ResNet-50,16,SGD,0.001,99.79,results_with_pinmemory=false_epochs=10,mnist_resnet50_bs16_SGD_lr0.001_best.pth
MNIST,ResNet-50,32,Adam,0.0001,99.42,results_with_pinmemory=false_epochs=10,mnist_resnet50_bs32_Adam_lr0.0001_best.pth
MNIST,ResNet-50,32,Adam,0.001,99.09,results_with_pinmemory=false_epochs=10,mnist_resnet50_bs32_Adam_lr0.001_best.pth
MNIST,ResNet-50,32,SGD,0.0001,99.01,results_with_pinmemory=false_epochs=10,mnist_resnet50_bs32_SGD_lr0.0001_best.pth
MNIST,ResNet-50,32,SGD,0.001,98.82,results_with_pinmemory=false_epochs=10,mnist_resnet50_bs32_SGD_lr0.001_best.pth
FashionMNIST,ResNet-18,16,Adam,0.0001,91.05,results_with_pinmemory=false_epochs=2,fashion_resnet18_bs16_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-18,16,Adam,0.001,86.19,results_with_pinmemory=false_epochs=2,fashion_resnet18_bs16_Adam_lr0.001_best.pth
FashionMNIST,ResNet-18,16,SGD,0.0001,89.2,results_with_pinmemory=false_epochs=2,fashion_resnet18_bs16_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-18,16,SGD,0.001,90.96,results_with_pinmemory=false_epochs=2,fashion_resnet18_bs16_SGD_lr0.001_best.pth
FashionMNIST,ResNet-18,32,Adam,0.0001,91.37,results_with_pinmemory=false_epochs=2,fashion_resnet18_bs32_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-18,32,Adam,0.001,88.51,results_with_pinmemory=false_epochs=2,fashion_resnet18_bs32_Adam_lr0.001_best.pth
FashionMNIST,ResNet-18,32,SGD,0.0001,87.89,results_with_pinmemory=false_epochs=2,fashion_resnet18_bs32_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-18,32,SGD,0.001,90.68,results_with_pinmemory=false_epochs=2,fashion_resnet18_bs32_SGD_lr0.001_best.pth
FashionMNIST,ResNet-50,16,Adam,0.0001,89.9,results_with_pinmemory=false_epochs=2,fashion_resnet50_bs16_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-50,16,Adam,0.001,87.78,results_with_pinmemory=false_epochs=2,fashion_resnet50_bs16_Adam_lr0.001_best.pth
FashionMNIST,ResNet-50,16,SGD,0.0001,87.73,results_with_pinmemory=false_epochs=2,fashion_resnet50_bs16_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-50,16,SGD,0.001,90.77,results_with_pinmemory=false_epochs=2,fashion_resnet50_bs16_SGD_lr0.001_best.pth
FashionMNIST,ResNet-50,32,Adam,0.0001,90.03,results_with_pinmemory=false_epochs=2,fashion_resnet50_bs32_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-50,32,Adam,0.001,88.32,results_with_pinmemory=false_epochs=2,fashion_resnet50_bs32_Adam_lr0.001_best.pth
FashionMNIST,ResNet-50,32,SGD,0.0001,85.25,results_with_pinmemory=false_epochs=2,fashion_resnet50_bs32_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-50,32,SGD,0.001,90.97,results_with_pinmemory=false_epochs=2,fashion_resnet50_bs32_SGD_lr0.001_best.pth
MNIST,ResNet-18,16,Adam,0.0001,98.82,results_with_pinmemory=false_epochs=2,mnist_resnet18_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-18,16,Adam,0.001,98.06,results_with_pinmemory=false_epochs=2,mnist_resnet18_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-18,16,SGD,0.0001,98.46,results_with_pinmemory=false_epochs=2,mnist_resnet18_bs16_SGD_lr0.0001_best.pth
MNIST,ResNet-18,16,SGD,0.001,99.29,results_with_pinmemory=false_epochs=2,mnist_resnet18_bs16_SGD_lr0.001_best.pth
MNIST,ResNet-18,32,Adam,0.0001,98.64,results_with_pinmemory=false_epochs=2,mnist_resnet18_bs32_Adam_lr0.0001_best.pth
MNIST,ResNet-18,32,Adam,0.001,97.32,results_with_pinmemory=false_epochs=2,mnist_resnet18_bs32_Adam_lr0.001_best.pth
MNIST,ResNet-18,32,SGD,0.0001,97.96,results_with_pinmemory=false_epochs=2,mnist_resnet18_bs32_SGD_lr0.0001_best.pth
MNIST,ResNet-18,32,SGD,0.001,98.99,results_with_pinmemory=false_epochs=2,mnist_resnet18_bs32_SGD_lr0.001_best.pth
MNIST,ResNet-50,16,Adam,0.0001,98.54,results_with_pinmemory=false_epochs=2,mnist_resnet50_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-50,16,Adam,0.001,96.43,results_with_pinmemory=false_epochs=2,mnist_resnet50_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-50,16,SGD,0.0001,98.29,results_with_pinmemory=false_epochs=2,mnist_resnet50_bs16_SGD_lr0.0001_best.pth
MNIST,ResNet-50,16,SGD,0.001,98.7,results_with_pinmemory=false_epochs=2,mnist_resnet50_bs16_SGD_lr0.001_best.pth
MNIST,ResNet-50,32,Adam,0.0001,97.64,results_with_pinmemory=false_epochs=2,mnist_resnet50_bs32_Adam_lr0.0001_best.pth
MNIST,ResNet-50,32,Adam,0.001,96.44,results_with_pinmemory=false_epochs=2,mnist_resnet50_bs32_Adam_lr0.001_best.pth
MNIST,ResNet-50,32,SGD,0.0001,97.64,results_with_pinmemory=false_epochs=2,mnist_resnet50_bs32_SGD_lr0.0001_best.pth
MNIST,ResNet-50,32,SGD,0.001,98.51,results_with_pinmemory=false_epochs=2,mnist_resnet50_bs32_SGD_lr0.001_best.pth
FashionMNIST,ResNet-18,16,Adam,0.0001,90.49,results_with_pinmemory=true_epochs=2,fashion_resnet18_bs16_Adam_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-18,16,Adam,0.001,89.02,results_with_pinmemory=true_epochs=2,fashion_resnet18_bs16_Adam_lr0.001_pinned_best.pth
FashionMNIST,ResNet-18,16,SGD,0.0001,87.18,results_with_pinmemory=true_epochs=2,fashion_resnet18_bs16_SGD_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-18,16,SGD,0.001,90.41,results_with_pinmemory=true_epochs=2,fashion_resnet18_bs16_SGD_lr0.001_pinned_best.pth
FashionMNIST,ResNet-18,32,Adam,0.0001,91.38,results_with_pinmemory=true_epochs=2,fashion_resnet18_bs32_Adam_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-18,32,Adam,0.001,89.51,results_with_pinmemory=true_epochs=2,fashion_resnet18_bs32_Adam_lr0.001_pinned_best.pth
FashionMNIST,ResNet-18,32,SGD,0.0001,88.06,results_with_pinmemory=true_epochs=2,fashion_resnet18_bs32_SGD_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-18,32,SGD,0.001,91.26,results_with_pinmemory=true_epochs=2,fashion_resnet18_bs32_SGD_lr0.001_pinned_best.pth
FashionMNIST,ResNet-50,16,Adam,0.0001,86.75,results_with_pinmemory=true_epochs=2,fashion_resnet50_bs16_Adam_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-50,16,Adam,0.001,83.14,results_with_pinmemory=true_epochs=2,fashion_resnet50_bs16_Adam_lr0.001_pinned_best.pth
FashionMNIST,ResNet-50,16,SGD,0.0001,88.12,results_with_pinmemory=true_epochs=2,fashion_resnet50_bs16_SGD_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-50,16,SGD,0.001,90.95,results_with_pinmemory=true_epochs=2,fashion_resnet50_bs16_SGD_lr0.001_pinned_best.pth
FashionMNIST,ResNet-50,32,Adam,0.0001,88.14,results_with_pinmemory=true_epochs=2,fashion_resnet50_bs32_Adam_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-50,32,Adam,0.001,81.93,results_with_pinmemory=true_epochs=2,fashion_resnet50_bs32_Adam_lr0.001_pinned_best.pth
FashionMNIST,ResNet-50,32,SGD,0.0001,78.61,results_with_pinmemory=true_epochs=2,fashion_resnet50_bs32_SGD_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-50,32,SGD,0.001,90.14,results_with_pinmemory=true_epochs=2,fashion_resnet50_bs32_SGD_lr0.001_pinned_best.pth
MNIST,ResNet-18,16,Adam,0.0001,98.07,results_with_pinmemory=true_epochs=2,mnist_resnet18_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-18,16,Adam,0.001,97.64,results_with_pinmemory=true_epochs=2,mnist_resnet18_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-18,16,SGD,0.0001,98.5,results_with_pinmemory=true_epochs=2,mnist_resnet18_bs16_SGD_lr0.0001_best.pth
MNIST,ResNet-18,16,SGD,0.001,99.13,results_with_pinmemory=true_epochs=2,mnist_resnet18_bs16_SGD_lr0.001_best.pth
MNIST,ResNet-18,32,Adam,0.0001,98.71,results_with_pinmemory=true_epochs=2,mnist_resnet18_bs32_Adam_lr0.0001_best.pth
MNIST,ResNet-18,32,Adam,0.001,97.32,results_with_pinmemory=true_epochs=2,mnist_resnet18_bs32_Adam_lr0.001_best.pth
MNIST,ResNet-18,32,SGD,0.0001,98.09,results_with_pinmemory=true_epochs=2,mnist_resnet18_bs32_SGD_lr0.0001_best.pth
MNIST,ResNet-18,32,SGD,0.001,99.02,results_with_pinmemory=true_epochs=2,mnist_resnet18_bs32_SGD_lr0.001_best.pth
MNIST,ResNet-50,16,Adam,0.0001,97.56,results_with_pinmemory=true_epochs=2,mnist_resnet50_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-50,16,Adam,0.001,97.81,results_with_pinmemory=true_epochs=2,mnist_resnet50_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-50,16,SGD,0.0001,98.41,results_with_pinmemory=true_epochs=2,mnist_resnet50_bs16_SGD_lr0.0001_best.pth
MNIST,ResNet-50,16,SGD,0.001,98.68,results_with_pinmemory=true_epochs=2,mnist_resnet50_bs16_SGD_lr0.001_best.pth
MNIST,ResNet-50,32,Adam,0.0001,98.38,results_with_pinmemory=true_epochs=2,mnist_resnet50_bs32_Adam_lr0.0001_best.pth
MNIST,ResNet-50,32,Adam,0.001,94.99,results_with_pinmemory=true_epochs=2,mnist_resnet50_bs32_Adam_lr0.001_best.pth
MNIST,ResNet-50,32,SGD,0.0001,97.19,results_with_pinmemory=true_epochs=2,mnist_resnet50_bs32_SGD_lr0.0001_best.pth
MNIST,ResNet-50,32,SGD,0.001,98.91,results_with_pinmemory=true_epochs=2,mnist_resnet50_bs32_SGD_lr0.001_best.pth
FashionMNIST,ResNet-18,16,Adam,0.0001,92.69,results_with_pinmemory=true_epochs=5,fashion_resnet18_bs16_Adam_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-18,16,Adam,0.001,91.18,results_with_pinmemory=true_epochs=5,fashion_resnet18_bs16_Adam_lr0.001_pinned_best.pth
FashionMNIST,ResNet-18,16,SGD,0.0001,89.59,results_with_pinmemory=true_epochs=5,fashion_resnet18_bs16_SGD_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-18,16,SGD,0.001,92.66,results_with_pinmemory=true_epochs=5,fashion_resnet18_bs16_SGD_lr0.001_pinned_best.pth
FashionMNIST,ResNet-18,32,Adam,0.0001,92.29,results_with_pinmemory=true_epochs=5,fashion_resnet18_bs32_Adam_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-18,32,Adam,0.001,91.24,results_with_pinmemory=true_epochs=5,fashion_resnet18_bs32_Adam_lr0.001_pinned_best.pth
FashionMNIST,ResNet-18,32,SGD,0.0001,90.54,results_with_pinmemory=true_epochs=5,fashion_resnet18_bs32_SGD_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-18,32,SGD,0.001,91.85,results_with_pinmemory=true_epochs=5,fashion_resnet18_bs32_SGD_lr0.001_pinned_best.pth
FashionMNIST,ResNet-50,16,Adam,0.0001,91.34,results_with_pinmemory=true_epochs=5,fashion_resnet50_bs16_Adam_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-50,16,Adam,0.001,90.48,results_with_pinmemory=true_epochs=5,fashion_resnet50_bs16_Adam_lr0.001_pinned_best.pth
FashionMNIST,ResNet-50,16,SGD,0.0001,90.3,results_with_pinmemory=true_epochs=5,fashion_resnet50_bs16_SGD_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-50,16,SGD,0.001,92.7,results_with_pinmemory=true_epochs=5,fashion_resnet50_bs16_SGD_lr0.001_pinned_best.pth
FashionMNIST,ResNet-50,32,Adam,0.0001,91.33,results_with_pinmemory=true_epochs=5,fashion_resnet50_bs32_Adam_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-50,32,Adam,0.001,89.59,results_with_pinmemory=true_epochs=5,fashion_resnet50_bs32_Adam_lr0.001_pinned_best.pth
FashionMNIST,ResNet-50,32,SGD,0.0001,88.4,results_with_pinmemory=true_epochs=5,fashion_resnet50_bs32_SGD_lr0.0001_pinned_best.pth
FashionMNIST,ResNet-50,32,SGD,0.001,91.06,results_with_pinmemory=true_epochs=5,fashion_resnet50_bs32_SGD_lr0.001_pinned_best.pth
MNIST,ResNet-18,16,Adam,0.0001,99.2,results_with_pinmemory=true_epochs=5,mnist_resnet18_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-18,16,Adam,0.001,98.56,results_with_pinmemory=true_epochs=5,mnist_resnet18_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-18,16,SGD,0.0001,99.0,results_with_pinmemory=true_epochs=5,mnist_resnet18_bs16_SGD_lr0.0001_best.pth
MNIST,ResNet-18,16,SGD,0.001,99.22,results_with_pinmemory=true_epochs=5,mnist_resnet18_bs16_SGD_lr0.001_best.pth
MNIST,ResNet-18,32,Adam,0.0001,99.15,results_with_pinmemory=true_epochs=5,mnist_resnet18_bs32_Adam_lr0.0001_best.pth
MNIST,ResNet-18,32,Adam,0.001,98.51,results_with_pinmemory=true_epochs=5,mnist_resnet18_bs32_Adam_lr0.001_best.pth
MNIST,ResNet-18,32,SGD,0.0001,98.82,results_with_pinmemory=true_epochs=5,mnist_resnet18_bs32_SGD_lr0.0001_best.pth
MNIST,ResNet-18,32,SGD,0.001,99.17,results_with_pinmemory=true_epochs=5,mnist_resnet18_bs32_SGD_lr0.001_best.pth
MNIST,ResNet-50,16,Adam,0.0001,98.74,results_with_pinmemory=true_epochs=5,mnist_resnet50_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-50,16,Adam,0.001,98.44,results_with_pinmemory=true_epochs=5,mnist_resnet50_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-50,16,SGD,0.0001,98.9,results_with_pinmemory=true_epochs=5,mnist_resnet50_bs16_SGD_lr0.0001_best.pth
MNIST,ResNet-50,16,SGD,0.001,99.17,results_with_pinmemory=true_epochs=5,mnist_resnet50_bs16_SGD_lr0.001_best.pth
MNIST,ResNet-50,32,Adam,0.0001,98.62,results_with_pinmemory=true_epochs=5,mnist_resnet50_bs32_Adam_lr0.0001_best.pth
MNIST,ResNet-50,32,Adam,0.001,97.06,results_with_pinmemory=true_epochs=5,mnist_resnet50_bs32_Adam_lr0.001_best.pth
MNIST,ResNet-50,32,SGD,0.0001,98.61,results_with_pinmemory=true_epochs=5,mnist_resnet50_bs32_SGD_lr0.0001_best.pth
MNIST,ResNet-50,32,SGD,0.001,99.18,results_with_pinmemory=true_epochs=5,mnist_resnet50_bs32_SGD_lr0.001_best.pth
